RANKED SIMILARITIES: 1
10 35 1.48316586018
10 45 1.51340387549
10 27 1.52228200648
10 75 1.57028931258
10 79 1.57536992296
10 7 1.58836202956
10 90 1.59612893259
10 88 1.61115652942
10 2 1.61374663163
10 91 1.69791358227
10 78 1.70667389624
10 58 1.72060712038
10 41 1.72434545774
10 82 1.79489691654
10 34 1.79715998749
10 15 1.80004552622
10 47 1.83377513679
10 71 1.8476179239
10 20 1.84777633674
10 26 1.85619790794
10 59 1.85983850917
10 77 1.87160745977
10 46 1.88358838149
10 29 1.89132061275
10 12 1.89163649964
10 66 1.8920471376
10 93 1.8952620363
10 65 1.8968136741
10 49 1.90130698436
10 24 1.90206459961
10 17 1.90409521392
10 85 1.90543226865
10 61 1.90815995428
10 70 1.91211127916
10 22 1.91303645554
10 23 1.91393653939
10 5 1.92555066279
10 4 1.93013093628
10 60 1.93277062775
10 36 1.93484459748
10 11 1.93492111494
10 9 1.9384597815
10 19 1.93916594828
10 13 1.94209821603
10 56 1.94776299948
10 25 inf
10 48 inf
10 52 inf
10 53 inf
10 55 inf
10 64 inf
10 67 inf
10 87 inf
RANKED SIMILARITIES: 11
11 59 0.0750826057705
11 26 0.124894256488
11 93 0.128264264686
11 24 0.155004089027
11 66 0.214121066842
11 61 0.227220318677
11 70 0.231303474779
11 71 0.248441136415
11 58 0.25459339148
11 27 0.465436008522
11 46 0.500681031341
11 40 0.697527796352
11 36 0.708794558677
11 92 0.788363169426
11 49 0.791310833265
11 6 0.988850385846
11 32 1.0024374393
11 44 1.01331603111
11 89 1.01394765199
11 69 1.0261105366
11 95 1.03412879691
11 3 1.04640153004
11 63 1.05306386348
11 33 1.05496928069
11 68 1.0621429131
11 31 1.0835755558
11 94 1.09177607425
11 51 1.09706805285
11 97 1.10108413292
11 17 1.10634820259
11 73 1.1152636995
11 20 1.127086767
11 14 1.1336983866
11 35 1.21736608494
11 83 1.25244791248
11 16 1.26034099944
11 22 1.28346581937
11 23 1.35293468945
11 76 1.39964629944
11 8 1.42594138391
11 54 1.48251684031
11 18 1.4881222519
11 45 1.5256456567
11 37 1.57929850876
11 75 1.58253109379
11 79 1.58761170417
11 7 1.600609507
11 88 1.60260239111
11 2 1.62518551092
11 91 1.71015576968
11 78 1.71891873144
11 41 1.73658814997
11 77 1.74487689868
11 82 1.80713869775
11 80 1.80785028991
11 34 1.80940176871
11 15 1.81228861167
11 90 1.81606991561
11 30 1.83125589031
11 72 1.83623137274
11 47 1.846016918
11 57 1.86453033893
11 62 1.87211052673
11 96 1.89356113128
11 43 1.89860927592
11 28 1.90217692152
11 29 1.90356958955
11 12 1.90387828086
11 60 1.90462842693
11 86 1.90668262685
11 65 1.90906345991
11 74 1.91091873566
11 85 1.91765788927
11 42 1.92457614418
11 10 1.93492111494
11 5 1.93779812716
11 84 1.93898993322
11 4 1.94224118059
11 81 1.94304270311
11 50 1.94985752197
11 9 1.95070156271
11 19 1.95140772949
11 21 1.95195878058
11 13 1.95433999725
11 38 1.95763831648
11 39 1.9598761278
11 56 1.96000478069
11 25 inf
11 48 inf
11 52 inf
11 53 inf
11 55 inf
11 64 inf
11 67 inf
11 87 inf
RANKED SIMILARITIES: 12
12 47 0.139259010584
12 19 0.1491899712
12 9 0.151407554529
